MES,mat_eq_nuevas_mes,ppef_mujeres_25_40,pct_indef_25_40,pct_amb_fill_25_40,RE_ponderado_lag1,RE_ponderado_lag2,RE_ponderado_lag3,mat_eq_lag1,mat_eq_lag12,mes
2016-01-31,3.54,969.689750323,0.1601182519,0.1504796532,0.0,0.0,0.0,0.0,0.0,1
2016-02-29,6.0627586207,1019.6951733079,0.1480088048,0.1099281006,15.624,0.0,0.0,3.54,0.0,2
2016-03-31,5.5193548387,1033.5399857667,0.1455482076,0.1173422541,16.716,15.624,0.0,6.0627586207,0.0,3
2016-04-30,2.7349777778,1036.7884885473,0.1418761749,0.1133113099,16.464,16.716,15.624,5.5193548387,0.0,4
2016-05-31,7.0038709677,1022.9498085589,0.1400694276,0.1218412634,11.256,16.464,16.716,2.7349777778,0.0,5
2016-06-30,6.6604444444,1083.2357473521,0.1296521157,0.1225570632,9.156,11.256,16.464,7.0038709677,0.0,6
2016-07-31,2.2737204301,1104.2346496873,0.1240943192,0.1198528963,9.576,9.156,11.256,6.6604444444,0.0,7
2016-08-31,2.608688172,1102.8128097769,0.1210623805,0.1228345876,12.6,9.576,9.156,2.2737204301,0.0,8
2016-09-30,4.3785866667,1087.8128108327,0.1249743878,0.1248101328,15.456,12.6,9.576,2.608688172,0.0,9
2016-10-31,2.3980645161,1066.1852382795,0.1229381944,0.131373611,11.256,15.456,12.6,4.3785866667,0.0,10
2016-11-30,7.7486666667,1053.4240737589,0.1223009918,0.1397215637,11.592,11.256,15.456,2.3980645161,0.0,11
2016-12-31,6.6863532487,1034.373842733,0.1211368239,0.1435505928,13.86,11.592,11.256,7.7486666667,0.0,12
2017-01-31,1.8651612903,1044.7751827049,0.118729665,0.1531199489,21.42,13.86,11.592,6.6863532487,3.54,1
2017-02-28,5.6246666667,1008.6656090268,0.1195132538,0.0946117251,11.844,21.42,13.86,1.8651612903,6.0627586207,2
2017-03-31,6.4709677419,1016.6906424671,0.1160280355,0.1049411025,12.096,11.844,21.42,5.6246666667,5.5193548387,3
2017-04-30,4.1483555556,1027.5121536857,0.1143913593,0.1077154314,10.332,12.096,11.844,6.4709677419,2.7349777778,4
2017-05-31,1.2637419355,1029.7117335198,0.1131065366,0.119074108,9.072,10.332,12.096,4.1483555556,7.0038709677,5
2017-06-30,4.7986666667,1054.499543222,0.1099265805,0.1191684337,8.568,9.072,10.332,1.2637419355,6.6604444444,6
2017-07-31,2.8548387097,1121.5772305394,0.1003486245,0.1158028523,9.828,8.568,9.072,4.7986666667,2.2737204301,7
2017-08-31,1.18,1118.8358688541,0.0970187061,0.1211543207,10.836,9.828,8.568,2.8548387097,2.608688172,8
2017-09-30,9.204,1114.2700094495,0.1033676428,0.1168065694,10.92,10.836,9.828,1.18,4.3785866667,9
2017-10-31,4.9864516129,1090.4232538024,0.1047103639,0.1221502975,15.036,10.92,10.836,9.204,2.3980645161,10
2017-11-30,3.894,1102.0417977595,0.1010658368,0.1230256961,12.684,15.036,10.92,4.9864516129,7.7486666667,11
2017-12-31,2.5883870968,1126.3105666676,0.0982150832,0.125992736,10.332,12.684,15.036,3.894,6.6863532487,12
2018-01-31,5.6716129032,1114.8745925673,0.0960850975,0.1291367594,10.08,10.332,12.684,2.5883870968,1.8651612903,1
2018-02-28,4.5935714286,1073.6692648542,0.0981206386,0.0925095694,7.392,10.08,10.332,5.6716129032,5.6246666667,2
2018-03-31,4.0698580645,1074.2736209835,0.0933784799,0.1002411916,5.964,7.392,10.08,4.5935714286,6.4709677419,3
2018-04-30,1.534,1078.7135396701,0.0927837412,0.1048220662,9.324,5.964,7.392,4.0698580645,4.1483555556,4
2018-05-31,5.3042903226,1080.1755125042,0.089438476,0.1085379228,13.524,9.324,5.964,1.534,1.2637419355,5
